id,text,label
176,You know nothing about the legislative process but talk about holes? Learn to resist. Bad as talking about NFL players taking a knee.,0
177,It is remarkable how stupid Jared is. http://www.lawyersgunsmoneyblog.com/2017/05/hey-harvard-doesnt-just-sell-degrees-anyone I mean  like  stupider than Trump stupid.,1
178,You don't have a "right" to any of the free stuff you get in life  but I don't see you giving any of that up.,0
179,Not moving off of the tracks is really dumb. Just like moose  with their tiny little brains not much larger than a walnut. So sad that so many are so stupid. I agree that the train should speed up. Let the bottom of the oil pan of the locomotive be their scenic view. People that stupid only endanger the rest of us.,1
180,LOL you have no idea how wrong you are but go ahead - what percentage all IT jobs are in COBOL? Oh and you'll need a cite for that.,0
181,In June  the workers agreed to return to work with few gains.,0
182,Re: "Or maybe that ban isn't a Muslim ban"  Sorry  but: "Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States".  The only thing I hate more than WILLFUL ignorance is lying to cover it up.,1
183,Roy your defending lying to ethics   you saying bribery not a problem.. this whole rail is falling apart because our foundation starts with honesty. Rail is falling because of pay to play..,0
184,It looks like a Trump supporter is feeling blue that his hero is being revealed to be an incompetent buffoon.  Does anyone have any tissue for our dear little Bobbykins?,1
185,Bayley thought that sex was inescapably ridiculous.,1
186,Council still playing the extortion card. Don't forget these people  folks!  Question is: DO WE HOLD THESE SHYSTERS ACCOUNTABLE TO THEIR PROMISES??? No property taxes. On time. On budget????  I'll remember "my" council member come election time and vote for whoever is running against him (IF anyone runs against  knowing this town).,0
187,What a headline!!!  Label him a "Veteran" but leave out affiliations to BLM and the DNC!  What crock!,1
188,Very good column. The NYT didn't so much approve of Trump's action as not denounce it apoplectically  as it usually does with respect to Trump  which  amounts to a kind of grudging approval in today's hyper partisan American political forum. It raised two issues about the legality of  Trump's action and urged Trump to seek to make his actions legal in the future.  One was the lack of congressional approval in accord with the constitution----sounding like Republicans a few years ago----while noting briefly that their own guy (Obama) didn't much bother with this. The other was the lack of UN Security Council approval  without mentioning that this was  impossible thanks to the Security Council veto and the Putin/Xi  doctrine that dictators who are clients of Security Council members should be free to do what they want to their own people without international interference  apart perhaps from a little hacking.,0
189,"The unduly and unscientifically alarmist CSSR cannot be put back into its political bottle. But it is the perfect vehicle for critical analysis and robust criticism  precisely because of its radical alarmist nature. Most importantly  this criticism would be official  which will make climate skepticism official U.S. policy.  Mind you  the CSSR is over 600 pages long  so its rebuttal would not be a trivial exercise."  https://townhall.com/columnists/davidwojick/2017/10/19/trying-to-perpetuate-alarmist-climate-science-n2396947?utm_source=thdaily&utm_medium=email&utm_campaign=nl&newsletterad=,0
190,Though the accompaniments were kept very much under  they were still occasionally too loud.,0
191,Every monad arises from some adjunction  in fact typically from many adjunctions.,0
192,It's a big big deal for us. Caldwell is selling the office of the Mayor  destroying basic democratic values like free speech and civil rights  undermining the Ethics Commission  plundering the city treasury  turning our parks and public projects into "PAY TO PLAY" schemes to name a few.  Also  Kirk Caldwell is continuing Mufi Hannemann's legacy at City Hall. Caldwell has not met a massive development he does not like.  Caldwell is causing irreparable damage to "Keep The Country Country" region. We cannot allow him to continue the path of destruction.,0
193,Actually they were arrested by the Canadians,0
194,Go away  Troll. Ugh.,1
195,The vast majority of the budget goes to salaries. You have a whole district of senior teachers who have been getting step raises for decades with many making close to 100k a year. Of course seniority is the only qualification for retention and promotion. How could such a nepotistic  incompetent system produce anything but the current failure we are experiencing?   Not to mention the bloated administration staffs. Education could be done so much better for so much less  so quit asking for more of other people's money to throw down the bottomless hole  and lets get to the heart of the issue. The teacher's public-employee union has ruined the schools. Trade unions are good; public employee unions like the teachers' and SEIU are a joke.,0
196,I have no doubt what so ever PET's not-with-standing could be used here  but keep in mind The Canadian Charter of Human Rights and Freedoms is not Canadian Law  as Quebec never signed on to it.,0
197,Just like guys who wear surfer shorts right!?! Cover it up gents lol! Who wants to see beauty in living color? oh no surfers make sense but don't you think us woman should grab them by their jewels cause they have beef cake chests? What about the football pants  shootfire  guess us women should say they deserve to be mocked by the savage.  The ballet is senseless to discuss with the likes of you people because you lack the intellect to understand beauty doesn't always mean sexual!!!!!!!!!,0
198,a stupid tweet from a stupid twit,1
